"tgl_transaksi","nama_sales","harga_asli","customer","tipe_produk","nama","domisili","usia","name","start_date","end_date","budget"
"1/3/2021","Aini","Rp385,000.00","Cuphulien","Produk D","Cuphulien","Jawa Barat","42","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"26/3/2021","Aini","Rp295,000.00","Safluvis","Produk G","Safluvis","Jakarta","27","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"21/4/2021","Octroy","Rp130,000.00","Boubacar","Produk C","Boubacar","Bali","31","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"17/3/2021","Agus","Rp3,304,000.00","Mudiwa","Produk B","Mudiwa","Bali","31","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"29/4/2021","Octroy","Rp147,000.00","Ade","Produk G","Ade","Jawa Barat","42","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"29/4/2021","Octroy","Rp147,000.00","Ade","Produk G","Ade","Jawa Barat","42","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"29/4/2021","Octroy","Rp147,000.00","Ade","Produk G","Ade","Jawa Barat","42","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"29/4/2021","Octroy","Rp147,000.00","Ade","Produk G","Ade","Jawa Barat","42","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"29/4/2021","Octroy","Rp147,000.00","Ade","Produk G","Ade","Jawa Barat","42","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"29/4/2021","Octroy","Rp147,000.00","Ade","Produk G","Ade","Jawa Barat","42","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"13/4/2021","Agus","Rp614,480.00","Ufuoma","Produk E","Ufuoma","Bali","48","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"28/2/2021","Octroy","Rp1,543,050.00","Wiati","Produk B","Wiati","Jakarta","47","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"18/4/2021","Dena","Rp360,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"16/6/2021","Aini","Rp283,000.00","Olabode","Produk B","Olabode","Jawa Barat","37","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"15/7/2021","Agus","Rp450,000.00","Shashou","Produk G","Shashou","Jakarta","44","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"17/3/2021","Aini","Rp252,803.00","Chinweuba","Produk B","Chinweuba","Bali","24","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"21/3/2021","Agus","Rp222,000.00","Bluaxia","Produk F","Bluaxia","Jawa Barat","11","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"29/4/2021","Dena","Rp26,700.00","Gar","Produk F","Gar","Bali","39","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"29/4/2021","Dena","Rp26,700.00","Gar","Produk F","Gar","Bali","39","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"29/4/2021","Dena","Rp26,700.00","Gar","Produk F","Gar","Bali","39","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"29/4/2021","Dena","Rp26,700.00","Gar","Produk F","Gar","Bali","39","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"29/4/2021","Dena","Rp26,700.00","Gar","Produk F","Gar","Bali","39","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"29/4/2021","Dena","Rp26,700.00","Gar","Produk F","Gar","Bali","39","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"1/6/2021","Agus","Rp160,000.00","Doux","Produk C","Doux","Luar Indonesia","18","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"1/6/2021","Agus","Rp160,000.00","Doux","Produk C","Doux","Luar Indonesia","18","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"1/6/2021","Agus","Rp160,000.00","Doux","Produk C","Doux","Luar Indonesia","18","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"1/6/2021","Agus","Rp160,000.00","Doux","Produk C","Doux","Luar Indonesia","18","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"1/6/2021","Agus","Rp160,000.00","Doux","Produk C","Doux","Luar Indonesia","18","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"1/6/2021","Agus","Rp160,000.00","Doux","Produk C","Doux","Luar Indonesia","18","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"25/2/2021","Agus","Rp310,000.00","Shashou","Produk C","Shashou","Jakarta","44","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"10/4/2021","Agus","Rp16,000.00","Saazteec","Produk E","Saazteec","Luar Indonesia","28","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"17/4/2021","Octroy","Rp550,000.00","Shashou","Produk B","Shashou","Jakarta","44","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"2/1/2021","Aini","Rp405,000.00","Cuphulien","Produk A","Cuphulien","Jawa Barat","42","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"3/2/2021","Aini",,"Jeingzou","Produk C","Jeingzou","Jakarta","19","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"3/2/2021","Aini",,"Jeingzou","Produk C","Jeingzou","Jakarta","19","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"3/2/2021","Aini",,"Jeingzou","Produk C","Jeingzou","Jakarta","19","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"3/2/2021","Aini",,"Jeingzou","Produk C","Jeingzou","Jakarta","19","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"3/2/2021","Aini",,"Jeingzou","Produk C","Jeingzou","Jakarta","19","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"3/2/2021","Aini",,"Jeingzou","Produk C","Jeingzou","Jakarta","19","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"17/2/2021","Agus",,"Glite","Produk D","Glite","Luar Indonesia","30","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"10/2/2021","Octroy","Rp290,000.00","Ezii","Produk G","Ezii","Jakarta","23","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"2/5/2021","Agus","Rp195,300.00","Bzayan","Produk E","Bzayan","Jawa Barat","18","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"2/5/2021","Agus","Rp195,300.00","Bzayan","Produk E","Bzayan","Jawa Barat","18","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"2/5/2021","Agus","Rp195,300.00","Bzayan","Produk E","Bzayan","Jawa Barat","18","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
